"geneID","proteinID","descrip"
"BKA90DRAFT_139395","KAE8171231.1","RNA polymerase I subunit RPA14-domain-containing protein"
"BKA90DRAFT_139396","KAE8171232.1","ribosomal protein L34-domain-containing protein"
"BKA90DRAFT_139398","KAE8171233.1","ribosomal protein L1-like protein"
"BKA90DRAFT_139399","KAE8171234.1","phosphatidylinositol-glycan biosynthesis class S protein"
"BKA90DRAFT_100227","KAE8171235.1","hypothetical protein"
"BKA90DRAFT_139401","KAE8171236.1","anaphase-promoting complex, cyclosome, subunit 4-domain-containing protein"
"BKA90DRAFT_139402","KAE8171237.1","hypothetical protein"
"BKA90DRAFT_139403","KAE8171238.1","FMN-dependent dehydrogenase"
"BKA90DRAFT_100235","KAE8171239.1","fungal-specific transcription factor domain-containing protein"
"BKA90DRAFT_139409","KAE8171240.1","mitochondrial 54S ribosomal protein RML2"
"BKA90DRAFT_139410","KAE8171241.1","OSCP/delta subunit of ATPase"
"BKA90DRAFT_169433","KAE8171242.1","SNF2 family N-terminal domain-containing protein"
"BKA90DRAFT_29782","KAE8171243.1","hypothetical protein"
"BKA90DRAFT_139414","KAE8171244.1","Cullin"
"BKA90DRAFT_139415","KAE8171245.1","hypothetical protein"
"BKA90DRAFT_29807","KAE8171246.1","mitochondrial K+-H+ exchange-related-domain-containing protein"
"BKA90DRAFT_147742","KAE8171247.1","ubiquitin elongating factor core-domain-containing protein"
"BKA90DRAFT_139418","KAE8171248.1","hypothetical protein"
"BKA90DRAFT_139419","KAE8171249.1","immunoglobulin E-set"
"BKA90DRAFT_153677","KAE8171250.1","phosphoglycerate kinase"
"BKA90DRAFT_139421","KAE8171251.1","hypothetical protein"
"BKA90DRAFT_139423","KAE8171252.1","hypothetical protein"
"BKA90DRAFT_139425","KAE8171253.1","spinocerebellar ataxia type 10 protein domain-containing protein"
"BKA90DRAFT_139426","KAE8171254.1","54S ribosomal protein L2, mitochondrial"
"BKA90DRAFT_29882","KAE8171255.1","hypothetical protein"
"BKA90DRAFT_139429","KAE8171256.1","hypothetical protein"
"BKA90DRAFT_139433","KAE8171257.1","hypothetical protein"
"BKA90DRAFT_139435","KAE8171258.1","rRNA-processing arch domain-containing protein"
"BKA90DRAFT_139438","KAE8171259.1","DNA repair metallo-beta-lactamase-domain-containing protein"
"BKA90DRAFT_85737","KAE8171260.1","armadillo-type protein"
"BKA90DRAFT_139441","KAE8171261.1","cytochrome b5-like heme/steroid binding domain-containing protein"
"BKA90DRAFT_114538","KAE8171262.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_139445","KAE8171263.1","hypothetical protein"
"BKA90DRAFT_29973","KAE8171264.1","hypothetical protein"
"BKA90DRAFT_139450","KAE8171265.1","Noc2p family-domain-containing protein"
"BKA90DRAFT_139451","KAE8171266.1","hypothetical protein"
"BKA90DRAFT_139452","KAE8171267.1","autophagy protein Apg6-domain-containing protein"
"BKA90DRAFT_139454","KAE8171268.1","hypothetical protein"
"BKA90DRAFT_139455","KAE8171155.1","mitochondrial carrier domain-containing protein"
"BKA90DRAFT_30006","KAE8171156.1","hypothetical protein"
"BKA90DRAFT_139461","KAE8171157.1","60S ribosomal protein L43"
"BKA90DRAFT_163419","KAE8171158.1","hypothetical protein"
"BKA90DRAFT_139463","KAE8171159.1","hypothetical protein"
"BKA90DRAFT_139465","KAE8171160.1","hypothetical protein"
"BKA90DRAFT_30067","KAE8171161.1","Alpha/Beta hydrolase protein"
"BKA90DRAFT_158056","KAE8171162.1","Metallo-dependent phosphatase-like protein"
"BKA90DRAFT_100328","KAE8171163.1","hypothetical protein"
"BKA90DRAFT_139471","KAE8171164.1","hypothetical protein"
"BKA90DRAFT_158058","KAE8171165.1","hypothetical protein"
"BKA90DRAFT_163426","KAE8171166.1","hypothetical protein"
"BKA90DRAFT_139473","KAE8171167.1","spindle assembly checkpoint kinase"
"BKA90DRAFT_139474","KAE8171168.1","ATP-dependent RNA helicase MRH4, mitochondrial"
"BKA90DRAFT_139476","KAE8171169.1","aspartic peptidase domain-containing protein"
"BKA90DRAFT_139478","KAE8171170.1","putative SRP72 protein"
"BKA90DRAFT_139479","KAE8171171.1","putative Nip7 protein"
"BKA90DRAFT_175192","KAE8171172.1","catalase-like domain-containing protein"
"BKA90DRAFT_139482","KAE8171173.1","acyl-CoA N-acyltransferase"
"BKA90DRAFT_139483","KAE8171174.1","hypothetical protein"
"BKA90DRAFT_100353","KAE8171175.1","hypothetical protein"
"BKA90DRAFT_139487","KAE8171176.1","actin family"
"BKA90DRAFT_139488","KAE8171177.1","glycoside hydrolase superfamily"
"BKA90DRAFT_139489","KAE8171178.1","Chitobiosyldiphosphodolichol beta-mannosyltransferase"
"BKA90DRAFT_139490","KAE8171179.1","hypothetical protein"
"BKA90DRAFT_139494","KAE8171180.1","hypothetical protein"
"BKA90DRAFT_139496","KAE8171181.1","kinase-like domain-containing protein"
"BKA90DRAFT_169484","KAE8171182.1","Alpha/Beta hydrolase protein"
"BKA90DRAFT_139501","KAE8171183.1","cytochrome b-c1 complex subunit 7"
"BKA90DRAFT_139504","KAE8171184.1","kinase-like domain-containing protein"
"BKA90DRAFT_139505","KAE8171185.1","mitochondrial ribosomal protein MRP51"
"BKA90DRAFT_100378","KAE8171186.1","Imidazoleglycerol-phosphate dehydratase-domain-containing protein"
"BKA90DRAFT_139507","KAE8171187.1","putative serine esterase-domain-containing protein"
"BKA90DRAFT_139508","KAE8171188.1","hypothetical protein"
"BKA90DRAFT_30249","KAE8171189.1","hypothetical protein"
"BKA90DRAFT_139514","KAE8171190.1","hypothetical protein"
"BKA90DRAFT_139515","KAE8171191.1","Pre-mRNA-splicing factor SLT11"
"BKA90DRAFT_85915","KAE8171192.1","kinase-like domain-containing protein"
"BKA90DRAFT_100394","KAE8171193.1","hypothetical protein"
"BKA90DRAFT_139522","KAE8171194.1","Sec8 exocyst complex component-specific domain-containing protein"
"BKA90DRAFT_139523","KAE8171195.1","hypothetical protein"
"BKA90DRAFT_139525","KAE8171196.1","hypothetical protein"
"BKA90DRAFT_139527","KAE8171197.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_139528","KAE8171198.1","GDP dissociation inhibitor"
"BKA90DRAFT_175214","KAE8171199.1","Rim9 protein"
"BKA90DRAFT_30309","KAE8171200.1","hypothetical protein"
"BKA90DRAFT_30310","KAE8171201.1","Sodium:solute symporter family-domain-containing protein"
"BKA90DRAFT_139534","KAE8171202.1","hypothetical protein"
"BKA90DRAFT_139535","KAE8171203.1","hypothetical protein"
"BKA90DRAFT_139539","KAE8171204.1","thiamine diphosphate-binding protein"
"BKA90DRAFT_139542","KAE8171205.1","ATPase GET3"
"BKA90DRAFT_139544","KAE8171206.1","Frag1/DRAM/Sfk1 family-domain-containing protein"
"BKA90DRAFT_139545","KAE8171207.1","hypothetical protein"
"BKA90DRAFT_175223","KAE8171208.1","hypothetical protein"
"BKA90DRAFT_139548","KAE8171209.1","nucleoside phosphatase GDA1/CD39"
"BKA90DRAFT_139549","KAE8171210.1","hypothetical protein"
"BKA90DRAFT_30402","KAE8171211.1","DNA replication factor Dna2-domain-containing protein"
"BKA90DRAFT_139552","KAE8171092.1","Aldehyde/histidinol dehydrogenase"
"BKA90DRAFT_169516","KAE8171093.1","multifunctional beta-oxidation enzyme"
"BKA90DRAFT_139554","KAE8171094.1","hypothetical protein"
"BKA90DRAFT_139557","KAE8171095.1","Ion transport protein-domain-containing protein"
"BKA90DRAFT_139558","KAE8171096.1","mitochondrial ribosomal subunit S27-domain-containing protein"
"BKA90DRAFT_139560","KAE8171097.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_139561","KAE8171098.1","hypothetical protein"
"BKA90DRAFT_139562","KAE8171099.1","hypothetical protein"
"BKA90DRAFT_139563","KAE8171100.1","ubiquinone biosynthesis protein Coq7"
"BKA90DRAFT_139565","KAE8171101.1","hypothetical protein"
"BKA90DRAFT_139566","KAE8171102.1","hypothetical protein"
"BKA90DRAFT_139569","KAE8171103.1","hypothetical protein"
"BKA90DRAFT_139571","KAE8171104.1","mitochondrial inner membrane translocase subunit Tim17/Tim22/Tim23/peroxisomal protein PMP24"
"BKA90DRAFT_139573","KAE8171105.1","nucleotide-diphospho-sugar transferase"
"BKA90DRAFT_163484","KAE8171106.1","hypothetical protein"
"BKA90DRAFT_139576","KAE8171107.1","Dolichyl-phosphate-mannose-protein mannosyltransferase-domain-containing protein"
"BKA90DRAFT_139577","KAE8171108.1","hypothetical protein"
"BKA90DRAFT_139578","KAE8171109.1","mediator of RNA polymerase II transcription subunit 21"
"BKA90DRAFT_139581","KAE8171110.1","hypothetical protein"
"BKA90DRAFT_175244","KAE8171111.1","hypothetical protein"
"BKA90DRAFT_139586","KAE8171112.1","aconitase family-domain-containing protein"
"BKA90DRAFT_139587","KAE8171113.1","hypothetical protein"
"BKA90DRAFT_175247","KAE8171114.1","hypothetical protein"
"BKA90DRAFT_30530","KAE8171115.1","hypothetical protein"
"BKA90DRAFT_139596","KAE8171116.1","hypothetical protein"
"BKA90DRAFT_139597","KAE8171117.1","phosphatase 2C-like domain-containing protein"
"BKA90DRAFT_139599","KAE8171118.1","chromatin modification-related protein YNG2"
"BKA90DRAFT_139600","KAE8171119.1","ADC synthase"
"BKA90DRAFT_163496","KAE8171120.1","ABC-2 type transporter-domain-containing protein"
"BKA90DRAFT_139602","KAE8171121.1","hypothetical protein"
"BKA90DRAFT_139603","KAE8171122.1","Alpha,alpha-trehalose-phosphate synthase"
"BKA90DRAFT_139604","KAE8171123.1","RNA polymerase III transcription factor IIIC subunit-domain-containing protein"
"BKA90DRAFT_139605","KAE8171124.1","hypothetical protein"
"BKA90DRAFT_139606","KAE8171125.1","mitosis protein DIM1-domain-containing protein"
"BKA90DRAFT_139607","KAE8171126.1","hypothetical protein"
"BKA90DRAFT_139608","KAE8171127.1","hypothetical protein"
"BKA90DRAFT_139610","KAE8171128.1","cytochrome P450"
"BKA90DRAFT_163505","KAE8171129.1","hypothetical protein"
"BKA90DRAFT_169549","KAE8171130.1","40S ribosomal protein S2"
"BKA90DRAFT_30613","KAE8171131.1","cytidylyltransferase family-domain-containing protein"
"BKA90DRAFT_139618","KAE8171132.1","hypothetical protein"
"BKA90DRAFT_139620","KAE8171133.1","flavo protein-like protein"
"BKA90DRAFT_139622","KAE8171134.1","hypothetical protein"
"BKA90DRAFT_139623","KAE8171135.1","hypothetical protein"
"BKA90DRAFT_100539","KAE8171136.1","hypothetical protein"
"BKA90DRAFT_114788","KAE8171137.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_139628","KAE8171138.1","ribosomal L28e/Mak16"
"BKA90DRAFT_139631","KAE8171139.1","lactate/malate dehydrogenase"
"BKA90DRAFT_139632","KAE8171140.1","hypothetical protein"
"BKA90DRAFT_139634","KAE8171141.1","FAR-17a/AIG1-like protein"
"BKA90DRAFT_139635","KAE8171142.1","hypothetical protein"
"BKA90DRAFT_139638","KAE8171143.1","hypothetical protein"
"BKA90DRAFT_139639","KAE8171144.1","SGF29 tudor-like domain-containing protein"
"BKA90DRAFT_139640","KAE8171145.1","hypothetical protein"
"BKA90DRAFT_139642","KAE8171146.1","Sec23/Sec24 trunk domain-containing protein"
"BKA90DRAFT_139643","KAE8171147.1","PIN domain-like protein"
"BKA90DRAFT_139646","KAE8171148.1","vacuolar protein 8"
"BKA90DRAFT_30708","KAE8171149.1","hypothetical protein"
"BKA90DRAFT_30709","KAE8171150.1","hypothetical protein"
"BKA90DRAFT_139650","KAE8171151.1","5'-AMP-activated protein kinase beta subunit, interation domain-containing protein"
"BKA90DRAFT_139651","KAE8171152.1","hypothetical protein"
"BKA90DRAFT_139652","KAE8171153.1","Fusaric acid resistance protein-like-domain-containing protein"
"BKA90DRAFT_114827","KAE8171154.1","aspartic peptidase domain-containing protein"
"BKA90DRAFT_30740","KAE8171030.1","hypothetical protein"
"BKA90DRAFT_30738","KAE8171031.1","major facilitator superfamily domain-containing protein"
"BKA90DRAFT_147875","KAE8171032.1","hypothetical protein"
"BKA90DRAFT_158098","KAE8171033.1","hypothetical protein"
"BKA90DRAFT_139658","KAE8171034.1","hypothetical protein"
"BKA90DRAFT_139659","KAE8171035.1","glycoside hydrolase superfamily"
"BKA90DRAFT_139660","KAE8171036.1","hypothetical protein"
"BKA90DRAFT_139661","KAE8171037.1","AMMECR1 domain-containing protein"
"BKA90DRAFT_139662","KAE8171038.1","peptide methionine sulfoxide reductase MsrA"
"BKA90DRAFT_139663","KAE8171039.1","mediator complex protein-domain-containing protein"
"BKA90DRAFT_139665","KAE8171040.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_139669","KAE8171041.1","P-loop containing nucleoside triphosphate hydrolase protein"
"BKA90DRAFT_139671","KAE8171042.1","Metallo-dependent phosphatase-like protein"
"BKA90DRAFT_100614","KAE8171043.1","hypothetical protein"
"BKA90DRAFT_114860","KAE8171044.1","luciferase-like domain-containing protein"
"BKA90DRAFT_163544","KAE8171045.1","chaperonin 10-like protein"
"BKA90DRAFT_139673","KAE8171046.1","Alpha/Beta hydrolase protein"
"BKA90DRAFT_139675","KAE8171047.1","cyclin-domain-containing protein"
"BKA90DRAFT_139676","KAE8171048.1","hypothetical protein"
"BKA90DRAFT_169588","KAE8171049.1","coatomer WD associated region-domain-containing protein"
"BKA90DRAFT_139680","KAE8171050.1","hypothetical protein"
"BKA90DRAFT_86205","KAE8171051.1","cytochrome c oxidase"
"BKA90DRAFT_139685","KAE8171052.1","40S ribosomal protein S26"
"BKA90DRAFT_139687","KAE8171053.1","branched-chain alpha-ketoacid dehydrogenase"
"BKA90DRAFT_30931","KAE8171054.1","hypothetical protein"
"BKA90DRAFT_30929","KAE8171055.1","Inositolphosphorylceramide synthase subunit Kei1-domain-containing protein"
"BKA90DRAFT_139693","KAE8171056.1","hypothetical protein"
"BKA90DRAFT_139697","KAE8171057.1","hypothetical protein"
"BKA90DRAFT_100651","KAE8171058.1","topoisomerase II-associated protein PAT1"
"BKA90DRAFT_139701","KAE8171059.1","hypothetical protein"
"BKA90DRAFT_30994","KAE8171060.1","ubiquitin-related modifier 1"
"BKA90DRAFT_31003","KAE8171061.1","hypothetical protein"
"BKA90DRAFT_147902","KAE8171062.1","thioredoxin-like protein"
"BKA90DRAFT_139709","KAE8171063.1","hypothetical protein"
"BKA90DRAFT_31028","KAE8171064.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_139711","KAE8171065.1","hypothetical protein"
"BKA90DRAFT_139712","KAE8171066.1","Tubulin/FtsZ, GTPase domain-containing protein"
"BKA90DRAFT_31065","KAE8171067.1","hypothetical protein"
"BKA90DRAFT_163563","KAE8171068.1","hypothetical protein"
"BKA90DRAFT_139719","KAE8171069.1","OPT oligopeptide transporter protein-domain-containing protein"
"BKA90DRAFT_31080","KAE8171070.1","hypothetical protein"
"BKA90DRAFT_139720","KAE8171071.1","hypothetical protein"
"BKA90DRAFT_139723","KAE8171072.1","hypothetical protein"
"BKA90DRAFT_139725","KAE8171073.1","hypothetical protein"
"BKA90DRAFT_139726","KAE8171074.1","hypothetical protein"
"BKA90DRAFT_139729","KAE8171075.1","peptidase M24, structural domain-containing protein"
"BKA90DRAFT_139730","KAE8171076.1","hypothetical protein"
"BKA90DRAFT_114937","KAE8171077.1","hypothetical protein"
"BKA90DRAFT_139731","KAE8171078.1","cytosolic Fe-S cluster assembly factor CFD1"
"BKA90DRAFT_139732","KAE8171079.1","regulator of volume decrease after cellular swelling-domain-containing protein"
"BKA90DRAFT_31140","KAE8171080.1","hypothetical protein"
"BKA90DRAFT_31168","KAE8171081.1","Metallo-dependent phosphatase-like protein"
"BKA90DRAFT_114945","KAE8171082.1","ubiquitin-related domain-containing protein"
"BKA90DRAFT_139741","KAE8171083.1","hypothetical protein"
"BKA90DRAFT_139743","KAE8171084.1","hypothetical protein"
"BKA90DRAFT_139744","KAE8171085.1","hypothetical protein"
"BKA90DRAFT_31198","KAE8171086.1","hypothetical protein"
"BKA90DRAFT_139748","KAE8171087.1","HotDog domain-containing protein"
"BKA90DRAFT_139750","KAE8171088.1","hypothetical protein"
"BKA90DRAFT_31224","KAE8171089.1","DNA polymerase alpha subunit B N-terminal-domain-containing protein"
"BKA90DRAFT_158129","KAE8171090.1","hypothetical protein"
"BKA90DRAFT_100717","KAE8171091.1","cell wall protein"
"BKA90DRAFT_139754","KAE8170983.1","hypothetical protein"
"BKA90DRAFT_175340","KAE8170984.1","Metallo-dependent phosphatase-like protein"
"BKA90DRAFT_130066","KAE8170985.1","hypothetical protein"
"BKA90DRAFT_158141","KAE8170986.1","hypothetical protein"
"BKA90DRAFT_139756","KAE8170987.1","peroxin 10"
"BKA90DRAFT_139759","KAE8170988.1","hypothetical protein"
"BKA90DRAFT_158151","KAE8170989.1","hypothetical protein"
"BKA90DRAFT_139760","KAE8170990.1","hypothetical protein"
"BKA90DRAFT_139761","KAE8170991.1","hypothetical protein"
"BKA90DRAFT_31267","KAE8170992.1","putative zinc metalloprotease"
"BKA90DRAFT_86281","KAE8170993.1","RNA ligase/cyclic nucleotide phosphodiesterase"
"BKA90DRAFT_130075","KAE8170994.1","hypothetical protein"
"BKA90DRAFT_114983","KAE8170995.1","hypothetical protein"
"BKA90DRAFT_31293","KAE8170996.1","hypothetical protein"
"BKA90DRAFT_31313","KAE8170997.1","SNF2 family N-terminal domain-containing protein"
"BKA90DRAFT_31312","KAE8170998.1","phosphotransferase KptA/Tpt1"
"BKA90DRAFT_139780","KAE8170999.1","hypothetical protein"
"BKA90DRAFT_139781","KAE8171000.1","ribosomal protein S5 domain 2-type protein"
"BKA90DRAFT_139784","KAE8171001.1","hypothetical protein"
"BKA90DRAFT_163600","KAE8171002.1","hypothetical protein"
"BKA90DRAFT_169642","KAE8171003.1","1,3-beta-glucan synthase component-domain-containing protein"
"BKA90DRAFT_139789","KAE8171004.1","hypothetical protein"
"BKA90DRAFT_139792","KAE8171005.1","hypothetical protein"
"BKA90DRAFT_31378","KAE8171006.1","hypothetical protein"
"BKA90DRAFT_139796","KAE8171007.1","fork head domain-containing protein"
"BKA90DRAFT_139797","KAE8171008.1","GPI mannosyltransferase 4"
"BKA90DRAFT_139798","KAE8171009.1","hypothetical protein"
"BKA90DRAFT_139799","KAE8171010.1","hypothetical protein"
"BKA90DRAFT_115017","KAE8171011.1","exocyst complex component Sec10-like protein"
"BKA90DRAFT_115018","KAE8171012.1","hypothetical protein"
"BKA90DRAFT_139804","KAE8171013.1","beta-glucan synthesis-associated protein-domain-containing protein"
"BKA90DRAFT_86262","KAE8171014.1","hypothetical protein"
"BKA90DRAFT_130093","KAE8171015.1","hypothetical protein"
"BKA90DRAFT_147961","KAE8171016.1","Uroporphyrinogen decarboxylase"
"BKA90DRAFT_139811","KAE8171017.1","WD40-repeat-containing domain protein"
"BKA90DRAFT_139815","KAE8171018.1","hypothetical protein"
"BKA90DRAFT_115032","KAE8171019.1","hypothetical protein"
"BKA90DRAFT_139820","KAE8171020.1","hypothetical protein"
"BKA90DRAFT_139823","KAE8171021.1","Aldehyde/histidinol dehydrogenase"
"BKA90DRAFT_139825","KAE8171022.1","RNA polymerase II transcription elongation factor-domain-containing protein"
"BKA90DRAFT_31473","KAE8171023.1","hypothetical protein"
"BKA90DRAFT_86278","KAE8171024.1","hypothetical protein"
"BKA90DRAFT_139828","KAE8171025.1","hypothetical protein"
"BKA90DRAFT_139831","KAE8171026.1","hypothetical protein"
"BKA90DRAFT_100800","KAE8171027.1","hypothetical protein"
"BKA90DRAFT_31531","KAE8171028.1","hypothetical protein"
"BKA90DRAFT_139841","KAE8171029.1","hypothetical protein"
"BKA90DRAFT_153903","KAE8170930.1","hypothetical protein"
"BKA90DRAFT_175376","KAE8170931.1","Alpha/Beta hydrolase protein"
"BKA90DRAFT_139853","KAE8170932.1","acyltransferase-domain-containing protein"
"BKA90DRAFT_139855","KAE8170933.1","hypothetical protein"
"BKA90DRAFT_139856","KAE8170934.1","hypothetical protein"
"BKA90DRAFT_139859","KAE8170935.1","glycosyl transferase family 41-domain-containing protein"
"BKA90DRAFT_175380","KAE8170936.1","hypothetical protein"
"BKA90DRAFT_139863","KAE8170937.1","Rix1 complex component"
"BKA90DRAFT_139865","KAE8170938.1","kinase-like domain-containing protein"
